# generated_at: 2026-05-15T12:15:02Z, dataset_version: v202605151210, source: internetinmyanmar.com/data
asn,isp_name,started_at,ended_at,duration_minutes,min_visibility_pct,resolved
AS136480,MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited,2026-04-10T19:15:34Z,2026-04-10T19:20:05Z,4,0.0,True
AS139206,PAMEL-AS-AP Pan Asia Majestic Eagle Ltd,2026-04-10T20:33:57Z,2026-04-10T21:03:23Z,29,0.0,True
AS140617,TPTNET-AS-AP THAN PHYO THU MINING COMPANY LIMITED,2026-04-10T21:02:35Z,2026-04-10T21:32:06Z,29,0.0,True
AS63852,FMG-MM Myanmar Net,2026-04-10T21:02:53Z,2026-04-10T21:32:09Z,29,0.0,True
AS134714,ETPCL-AS-AP Elite Telecom Public Company Limited,2026-04-10T22:01:27Z,2026-04-10T22:31:18Z,29,0.0,True
AS134976,MATL-AS-AP Myint & Associates Telecommunications Ltd,2026-04-10T22:03:26Z,2026-04-10T22:32:20Z,28,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-10T23:25:21Z,2026-04-10T23:31:31Z,6,0.0,True
AS151783,ERU-AS-AP EASTERN ROYAL UNICOM ERU TECHNOLOGY COMPANY LIMITED,2026-04-11T00:02:20Z,2026-04-11T00:31:27Z,29,0.0,True
AS134714,ETPCL-AS-AP Elite Telecom Public Company Limited,2026-04-11T01:01:29Z,2026-04-11T01:31:23Z,29,0.0,True
AS154020,SMMCL-AS-AP SAM MOUK MO Company Ltd,2026-04-11T02:02:53Z,2026-04-11T02:32:50Z,29,0.0,True
AS132167,U9-MM Nine Communications Company Limited,2026-04-11T02:05:19Z,2026-04-11T02:10:05Z,4,0.0,True
AS136210,ITSPECTRUM-AS-AP IT Spectrum Company Limited,2026-04-11T05:31:43Z,2026-04-11T06:01:39Z,29,0.0,True
AS133384,GTCL-AS-AP Global Technology Co.,2026-04-11T05:32:52Z,2026-04-11T06:02:41Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-11T05:40:19Z,2026-04-11T05:45:20Z,5,0.0,True
AS136480,MMUNILINK-AS-AP Myanmar Unilink Communication Company Limited,2026-04-11T05:40:37Z,2026-04-11T05:45:21Z,4,0.0,True
AS150721,ANCL-AS-AP ARAKHA NET,2026-04-11T07:02:29Z,2026-04-11T07:31:26Z,28,0.0,True
AS140552,CBBANK-AS-AP Co-operative Bank Public Company Limited,2026-04-11T07:02:56Z,2026-04-11T07:31:41Z,28,0.0,True
AS137955,MMIX-AS-AP Myanmar Internet Exchange,2026-04-11T10:01:45Z,2026-04-11T10:31:53Z,30,0.0,True
AS63998,KMTCL-MM Kinetic Myanmar Technology,2026-04-11T10:03:12Z,2026-04-11T10:33:09Z,29,0.0,True
AS151491,IQI-AS-AP Innovative Quality Internet Company Limited,2026-04-11T11:02:45Z,2026-04-11T11:32:30Z,29,0.0,True
AS135111,AML-AS-AP Asia Mega Link,2026-04-11T11:02:46Z,2026-04-11T11:32:31Z,29,0.0,True
AS58952,FRONTIIRCOLTD-MM Frontiir Co. Ltd,2026-04-11T11:10:19Z,2026-04-11T11:15:10Z,4,0.0,True
AS137431,RPCL-AS-AP ZORRO RITZ PUBLIC COMPANY LIMITED,2026-04-11T11:31:34Z,2026-04-18T11:31:44Z,10080,0.015,True
AS135433,CGCL-AS-AP Connect Gateway Company Limited,2026-04-11T12:01:52Z,2026-04-11T12:31:51Z,29,0.0,True
AS139003,TELCOSPEEDCOLTD-AS-AP Telcospeed,2026-04-11T13:01:52Z,2026-04-11T13:32:16Z,30,0.0,True
AS136255,TIMCL-AS-AP Telecom International Myanmar Co.,2026-04-11T15:31:53Z,2026-04-11T16:01:13Z,29,0.0,True
AS139595,HTIN-AS-AP HTIN HTIN NETWORK COMPANY LIMITED,2026-04-11T17:32:11Z,2026-04-11T18:03:03Z,30,0.0,True
AS137069,PICME-AS-AP POSCO INTERNATIONAL CORPORATION MYANMAR E&P OFFICE,2026-04-11T20:02:17Z,2026-04-11T20:32:23Z,30,0.0,True
AS134528,MPTCL-AS-AP MYANMAR PI TECHNOLOGY CO.,2026-04-11T20:02:19Z,2026-04-11T20:32:37Z,30,0.0,True
AS63998,KMTCL-MM Kinetic Myanmar Technology,2026-04-11T20:03:03Z,2026-04-11T20:33:07Z,30,0.0,True
AS136975,GNET-AS-AP Global Technology,2026-04-11T20:32:03Z,2026-04-11T21:01:54Z,29,0.0,True
AS134840,MCCL-AS-AP Myanmar Country Co.,2026-04-11T22:01:55Z,2026-04-11T22:31:28Z,29,0.0,True
AS153790,AMCL-AS-AP ADS Myanmar Company Limited,2026-04-11T22:02:03Z,2026-04-11T22:31:29Z,29,0.0,True
AS63852,FMG-MM Myanmar Net,2026-04-11T22:03:05Z,2026-04-11T22:32:13Z,29,0.0,True
AS63852,FMG-MM Myanmar Net,2026-04-12T01:02:33Z,2026-04-12T01:32:03Z,29,0.0,True
AS137069,PICME-AS-AP POSCO INTERNATIONAL CORPORATION MYANMAR E&P OFFICE,2026-04-12T01:02:34Z,2026-04-12T01:32:04Z,29,0.0,True
AS138166,MTATCL-AS-AP MaxxB Fiber Internet,2026-04-12T02:32:45Z,2026-04-12T03:02:38Z,29,0.0,True
AS134528,MPTCL-AS-AP MYANMAR PI TECHNOLOGY CO.,2026-04-12T03:02:27Z,2026-04-12T03:32:39Z,30,0.0,True
AS136229,TCLC-AS-AP Treasure Chindwin Land Co.,2026-04-12T03:31:17Z,2026-04-12T04:01:26Z,30,0.0,True
AS149810,ACL-AS-AP AnyNet,2026-04-12T04:02:58Z,2026-04-12T04:32:31Z,29,0.0,True
AS135149,MTGCL-AS-AP Myanmar Technology Gateway Co.,2026-04-12T04:03:35Z,2026-04-12T04:33:22Z,29,0.0,True
AS134714,ETPCL-AS-AP Elite Telecom Public Company Limited,2026-04-12T05:31:27Z,2026-04-12T06:01:30Z,30,0.0,True
AS134739,AGBC-AS-AP AGB Communication Co.,2026-04-12T05:31:53Z,2026-04-12T06:01:37Z,29,0.0,True
AS133385,ATOMMYANMAR-AS-AP Atom Myanmar Limited,2026-04-12T05:32:50Z,2026-04-12T06:02:07Z,29,0.0,True
AS154020,SMMCL-AS-AP SAM MOUK MO Company Ltd,2026-04-12T06:02:53Z,2026-04-12T06:33:59Z,31,0.0,True
AS132686,ACS-AS-AP Amara Communications,2026-04-12T07:31:40Z,2026-04-12T08:01:33Z,29,0.0,True
AS136168,CAMPANA-AS-AP Campana MYTHIC Co. Ltd.,2026-04-12T12:03:16Z,2026-04-12T12:32:22Z,29,0.0,True
AS136177,YOMABANKLIMITED-AS-AP Yoma Bank Limited,2026-04-12T12:03:18Z,2026-04-12T12:32:24Z,29,0.0,True
AS136168,CAMPANA-AS-AP Campana MYTHIC Co. Ltd.,2026-04-12T14:03:15Z,2026-04-12T14:33:07Z,29,0.0,True
AS150153,AWSCL-AS-AP A W S MYANMAR COMPANY LIMITED,2026-04-12T14:31:46Z,2026-04-12T15:31:36Z,59,0.0,True
AS45558,MPT-MM-AS-AP MYANMA POSTS AND TELECOMMUNICATIONS,2026-04-12T15:33:19Z,2026-04-12T16:02:40Z,29,0.0,True
